Office,Office Location,Bookshelves,Category,Title,Author,Publisher,Edition,Year,Quantity,Pages,Book No
"12, Old Post Office St.",Near High Court,DD/1,Book,"The competition act, 2002 (BARE ACT)",,,,2021,2,,C16/4
"12, Old Post Office St.",Near High Court,DD/1,Book,"The competition act, 2002 (BARE ACT)",,,,2024,3,,C16/5
"12, Old Post Office St.",Near High Court,DM/1,Book,"The competition act, 2002",,,,2004,,,C16/6
"12, Old Post Office St.",Near High Court,DM/1,Book,"The competition act, 2002",,,,2012,,,C16/7
"12, Old Post Office St.",Near High Court,DM/1,Book,"The competition act, 2002",,,,2020,,,C16/8
"12, Old Post Office St.",Near High Court,DM/1,Book,Taxmann's competition laws manual with case laws disert (BARE ACT),,,,2022,2,,C16/9
"12, Old Post Office St.",Near High Court,RG/1,Book,"The competition act, 2002",,,,2012,,,C16/10
"12, Old Post Office St.",Near High Court,DD/1,Book,"The Commission for protecting Child Rights Act, 2005 (BARE ACT)",,,,2019,,,C17/1
"12, Old Post Office St.",Near High Court,LIB/3,Book,S.C. Gupta The law relating to commissions of inquiry,,,,1977,,,C17/2
"12, Old Post Office St.",Near High Court,DD/1,Book,"The Central Visilance Commission Act, 2003",,,,2008,,,C17/3
"12, Old Post Office St.",Near High Court,DM/1,Book,"The Commission of Inquiry Act, 1952",,,,2007,,,C17/4
"12, Old Post Office St.",Near High Court,DM/1,Book,"Commission of Inquiry Act, 1952 (BARE ACT)",,,,2017,,,C17/5
"12, Old Post Office St.",Near High Court,AKD/1,Book,Clarification and circulars on company law,K.K. Roy,,,,,,C18/1
"12, Old Post Office St.",Near High Court,AKD/1,Book,Company notices meetings and resolutions,A.M. Chakraborty,,,1977,,,C18//2
"12, Old Post Office St.",Near High Court,AKD/1,Book,Handbook on company directors with evaluation of the board,Henry Richard,,,2015,,,C18/3
"12, Old Post Office St.",Near High Court,AKD/1,Book,Dutta on company law,Kamal Gupta,,5th,1992,,,C18/4
"12, Old Post Office St.",Near High Court,AKD/2,Book,India company law,,,,,,"Vol.1,2",C18/5
"12, Old Post Office St.",Near High Court,AKD/2,Book,Palmer's company law,C.M.Schmitthoff,,24th,1987,,,C18/6
"12, Old Post Office St.",Near High Court,AKD/2,Book,Penningston's company law,,,8th,,,,C18/7
"12, Old Post Office St.",Near High Court,AKD/2,Book,"Company law procedure under companies act, 2013",,,,2015,,,C18/8
"12, Old Post Office St.",Near High Court,AKD/2,Book,Taxmann's company law ready reckoner,V.S. Datey,,,,,,C18/9
"12, Old Post Office St.",Near High Court,ST/1,Book,K.M. Ghosh company law with secretarial practice,Rangnath Misra,,14th,2012,,"Vol. 1,2,3,4,",C18/10
"12, Old Post Office St.",Near High Court,LIB/3,Book,K.V. Shambhogue company resolution,,,4th,1989,,,C18/11
"12, Old Post Office St.",Near High Court,LIB/3,Book,Shreyi's queries and replies on company directors,Manta Bhargava,,,2006,,,C18/12
"12, Old Post Office St.",Near High Court,LIB/3,Book,Corporate law referencer,,,,,,,C18/13
"12, Old Post Office St.",Near High Court,LIB/3,Book,Corporate mergers amalgamation and takeovers,J.C. Verma,,3rd,1997,,,C18/14
"12, Old Post Office St.",Near High Court,LIB/3,Book,Bharat's company depositors,K.R. Chandratre,,2nd,1995,,,C18/15
"12, Old Post Office St.",Near High Court,LIB/3,Book,Taxmann's company notices meeting and resolutions,,,,1988,,,C18/16
"12, Old Post Office St.",Near High Court,LIB/3,Book,Taxmann's company notices meeting and resolutions,,,,1994,,,C18/17
"12, Old Post Office St.",Near High Court,LIB/3,Book,Taxmann's company notices meeting and resolutions,,,,2001,,,C18/18
"12, Old Post Office St.",Near High Court,LIB/3,Book,Guide to company law procedure,M.C. Bhandari,,15th,1999,,"Vol.1,2",C18/19
"12, Old Post Office St.",Near High Court,LIB/3,Book,Guide to company law procedure,M.C. Bhandari,,,2004,,"Vol.1,2",C18/20
"12, Old Post Office St.",Near High Court,LIB/3,Book,"Taxmann's company law digest Sec.3 Vol.1,2",,,,,,,C18/21
"12, Old Post Office St.",Near High Court,DM/1,Book,"National Company Law Tribunal Rules, 2016",,,,2019,,,C18/22
"12, Old Post Office St.",Near High Court,RB/1,Book,Taxmann's company law manual,,,21st,2024,,,C18/23
"12, Old Post Office St.",Near High Court,Top Flr.,Book,National Company Law Tribunal CS,Ajoy Kar,,,2016,,,C18/24
"12, Old Post Office St.",Near High Court,AKD/2,Book,"Companies act,1985 Chapter 6",,,,,,,C19/1
"12, Old Post Office St.",Near High Court,AKD/2,Book,"Companies act,1956 (1 of 1956)",,,,,,,C19/2
"12, Old Post Office St.",Near High Court,AKD/2,Book,Taxmann's companies act with rules,,,27th,2017,,,C19/3
"12, Old Post Office St.",Near High Court,AKD/2,Book,Bharat companies act,,,,2003,,,C19/4
"12, Old Post Office St.",Near High Court,AKD/2,Book,"Taxmann's Compamies Act,2013 and Companies Act,1956",,,,,,,C19/5
